state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
ID,09-05-2021,122,122,122,3.74,3.74,3.74,3262,3262,3262,POINT (-114.659366 44.389073)
IN,09-05-2021,887,887,887,5.27,5.27,5.27,16828,16828,16828,POINT (-86.2818 39.919991)
KS,09-05-2021,191,191,191,2.45,2.45,2.45,7797,7797,7797,POINT (-98.38018 38.484729)
LA,09-05-2021,284,284,284,2.32,2.32,2.32,12472,12472,12472,POINT (-91.840238 30.921314)
MD,09-05-2021,1016,1016,1016,10.33,10.33,10.33,9831,9831,9831,POINT (-76.687282 38.946466)
MI,09-05-2021,2439,2439,2439,11.94,11.94,11.94,20426,20426,20426,POINT (-85.730977 44.874798)
AL,10-05-2021,456,455,456,3.28,3.28,3.28,13885,13885,13885,POINT (-86.844516 32.756889)
AR,10-05-2021,196,196,197,2.57,2.57,2.57,7636,7636,7636,POINT (-92.439162 34.899825)
CA,10-05-2021,1816,1804,1828,3.11,2.66,3.57,58338,57692,58985,POINT (-119.662127 37.211164)
CT,10-05-2021,335,334,336,4.31,4.31,4.31,7777,7777,7777,POINT (-72.738288 41.575155)
DC,10-05-2021,157,157,157,5.73,5.73,5.73,2742,2742,2742,POINT (-77.016275 38.904785)
GA,10-05-2021,1283,1283,1283,6.65,6.65,6.65,19280,19280,19280,POINT (-83.426574 32.638481)
ID,10-05-2021,126,126,126,3.87,3.87,3.87,3257,3257,3257,POINT (-114.659366 44.389073)
IN,10-05-2021,875,875,875,5.21,5.21,5.21,16796,16796,16796,POINT (-86.2818 39.919991)
KS,10-05-2021,195,195,195,2.51,2.51,2.51,7765,7765,7765,POINT (-98.38018 38.484729)
LA,10-05-2021,268,267,269,2.16,2.16,2.16,12596,12596,12596,POINT (-91.840238 30.921314)
MD,10-05-2021,1014,1014,1014,10.38,10.38,10.38,9770,9770,9770,POINT (-76.687282 38.946466)
MI,10-05-2021,2408,2407,2408,11.74,11.74,11.74,20501,20501,20501,POINT (-85.730977 44.874798)
AL,11-05-2021,438,438,438,3.14,3.14,3.14,13965,13965,13965,POINT (-86.844516 32.756889)
AR,11-05-2021,187,187,187,2.42,2.42,2.42,7714,7714,7714,POINT (-92.439162 34.899825)
CA,11-05-2021,1836,1824,1847,3.11,2.66,3.55,59078,58441,59714,POINT (-119.662127 37.211164)
CT,11-05-2021,285,285,285,3.66,3.66,3.66,7786,7786,7786,POINT (-72.738288 41.575155)
DC,11-05-2021,168,168,168,6.15,6.15,6.15,2731,2731,2731,POINT (-77.016275 38.904785)
GA,11-05-2021,1291,1291,1291,6.67,6.67,6.67,19353,19353,19353,POINT (-83.426574 32.638481)
ID,11-05-2021,118,110,127,3.62,3.62,3.62,3271,3271,3271,POINT (-114.659366 44.389073)
IN,11-05-2021,843,842,844,5.04,5.04,5.04,16724,16724,16724,POINT (-86.2818 39.919991)
KS,11-05-2021,180,180,180,2.3,2.3,2.3,7813,7813,7813,POINT (-98.38018 38.484729)
LA,11-05-2021,291,291,291,2.34,2.34,2.34,12653,12653,12653,POINT (-91.840238 30.921314)
MD,11-05-2021,947,947,947,9.68,9.68,9.68,9779,9779,9779,POINT (-76.687282 38.946466)
MI,11-05-2021,2253,2253,2253,10.91,10.88,10.95,20643,20633,20653,POINT (-85.730977 44.874798)
AL,12-05-2021,448,448,448,3.21,3.21,3.21,13953,13953,13953,POINT (-86.844516 32.756889)
AR,12-05-2021,187,187,187,2.41,2.41,2.41,7752,7752,7752,POINT (-92.439162 34.899825)
CA,12-05-2021,1803,1792,1814,3.03,2.61,3.46,59442,58818,60065,POINT (-119.662127 37.211164)
CT,12-05-2021,286,286,286,3.67,3.67,3.67,7803,7803,7803,POINT (-72.738288 41.575155)
DC,12-05-2021,153,153,153,5.55,5.55,5.55,2755,2755,2755,POINT (-77.016275 38.904785)
GA,12-05-2021,1271,1271,1271,6.55,6.55,6.55,19399,19399,19399,POINT (-83.426574 32.638481)
ID,12-05-2021,112,112,112,3.41,3.41,3.41,3283,3283,3283,POINT (-114.659366 44.389073)
IN,12-05-2021,866,865,867,5.17,5.17,5.17,16756,16756,16756,POINT (-86.2818 39.919991)
KS,12-05-2021,173,158,189,2.21,2.21,2.21,7854,7854,7854,POINT (-98.38018 38.484729)
LA,12-05-2021,295,295,295,2.37,2.37,2.37,12676,12676,12676,POINT (-91.840238 30.921314)
MD,12-05-2021,964,964,964,9.9,9.9,9.9,9733,9733,9733,POINT (-76.687282 38.946466)
MI,12-05-2021,2222,2222,2222,10.67,10.67,10.67,20833,20833,20833,POINT (-85.730977 44.874798)
AL,13-05-2021,425,425,425,3.04,3.04,3.04,13977,13977,13977,POINT (-86.844516 32.756889)
AR,13-05-2021,199,199,199,2.57,2.57,2.57,7757,7757,7757,POINT (-92.439162 34.899825)
CA,13-05-2021,1736,1725,1747,2.93,2.51,3.34,59346,58736,59957,POINT (-119.662127 37.211164)
CT,13-05-2021,239,234,245,3.07,3.07,3.07,7806,7806,7806,POINT (-72.738288 41.575155)
DC,13-05-2021,150,150,150,5.47,5.47,5.47,2744,2744,2744,POINT (-77.016275 38.904785)
GA,13-05-2021,1227,1226,1228,6.3,6.3,6.3,19472,19472,19472,POINT (-83.426574 32.638481)
ID,13-05-2021,106,106,106,3.22,3.22,3.22,3294,3294,3294,POINT (-114.659366 44.389073)
IN,13-05-2021,818,817,819,4.86,4.86,4.86,16834,16834,16834,POINT (-86.2818 39.919991)
KS,13-05-2021,179,160,198,2.28,2.28,2.28,7838,7838,7838,POINT (-98.38018 38.484729)
LA,13-05-2021,283,282,284,2.29,2.29,2.29,12576,12576,12576,POINT (-91.840238 30.921314)
MD,13-05-2021,901,901,901,9.22,9.22,9.22,9768,9768,9768,POINT (-76.687282 38.946466)
MI,13-05-2021,2174,2173,2175,10.47,10.47,10.47,20767,20767,20767,POINT (-85.730977 44.874798)
AL,14-05-2021,424,424,425,3.03,3.03,3.03,13996,13996,13996,POINT (-86.844516 32.756889)
AR,14-05-2021,190,189,191,2.45,2.45,2.45,7746,7746,7746,POINT (-92.439162 34.899825)
CA,14-05-2021,1714,1704,1725,2.9,2.5,3.3,59113,58531,59695,POINT (-119.662127 37.211164)
CT,14-05-2021,244,237,250,3.12,3.12,3.12,7819,7819,7819,POINT (-72.738288 41.575155)
DC,14-05-2021,135,135,135,4.91,4.91,4.91,2751,2751,2751,POINT (-77.016275 38.904785)
GA,14-05-2021,1186,1185,1186,6.09,6.09,6.09,19460,19460,19460,POINT (-83.426574 32.638481)
ID,14-05-2021,105,105,105,3.21,3.21,3.21,3270,3270,3270,POINT (-114.659366 44.389073)
IN,14-05-2021,810,809,810,4.81,4.81,4.81,16842,16842,16842,POINT (-86.2818 39.919991)
KS,14-05-2021,164,145,183,2.1,2.1,2.1,7814,7814,7814,POINT (-98.38018 38.484729)
LA,14-05-2021,258,256,260,2.1,2.1,2.1,12508,12508,12508,POINT (-91.840238 30.921314)
MD,14-05-2021,846,846,846,8.7,8.7,8.7,9722,9722,9722,POINT (-76.687282 38.946466)
MI,14-05-2021,2053,2053,2053,9.93,9.85,10.01,20675,20650,20700,POINT (-85.730977 44.874798)
AL,15-05-2021,434,433,435,3.12,3.12,3.12,13904,13904,13904,POINT (-86.844516 32.756889)
AR,15-05-2021,183,183,183,2.39,2.39,2.39,7666,7666,7666,POINT (-92.439162 34.899825)
CA,15-05-2021,1670,1658,1682,2.83,2.44,3.23,58951,58404,59498,POINT (-119.662127 37.211164)
CT,15-05-2021,245,245,245,3.15,3.15,3.15,7785,7785,7785,POINT (-72.738288 41.575155)
DC,15-05-2021,138,138,138,5.01,5.01,5.01,2754,2754,2754,POINT (-77.016275 38.904785)
GA,15-05-2021,1139,1139,1139,5.91,5.91,5.91,19265,19265,19265,POINT (-83.426574 32.638481)
