station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,2017-01-04,20.12,44.06,34.34,10.513618,280,35.119958,0.9055123,3.149608,0.22834658
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-01-04,6.26,21.2,17.78,0.447388,280,6.039738,1.2992133,20.866153,0.05905515
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-01-04,10.22,33.08,21.38,19.908766,280,36.90951,0.1968505,5.905515,0.01181103
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-01-04,15.26,33.08,25.7,14.092722,260,36.90951,1.1023628,3.149608,0.07086618
NOME MUNI AP,AK,64.5111,-165.44,4,2017-01-04,23.18,31.1,24.44,14.316416,220,38.02798,0.1968505,18.110246,0.01181103
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,2017-01-04,23.18,41,28.76,10.06623,170,31.988242,3.1889781,7.086618,0.20078751
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-04,19.22,26.24,23.18,2.684328,170,16.105968,6.4960665,9.842525,0.44881914
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,2017-01-04,15.26,19.22,16.52,0.894776,140,6.039738,0.9842525,18.110246,0.0787402
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-04,4.1,20.12,16.88,15.65858,40,35.119958,5.3937037,12.992133,0.37007894
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,2017-01-04,17.24,39.92,32.54,1.342164,20,12.079476,0.393701,5.905515,0.07086618
CHEYENNE,WY,41.1519,-104.8061,1867.8,2017-01-04,-0.76,12.2,8.24,8.052984,10,27.96175,7.5984293,1.968505,0.44881914
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627,2017-01-04,-7.78,5.18,0.86,6.263432,10,21.027236,2.9921276,1.968505,0.11023628
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,2017-01-05,-1.84,5.18,3.56,4.921268,360,10.961006,2.5984266,3.93701,0.24015761
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,2017-01-05,-19.84,35.96,27.32,14.316416,360,36.014734,2.9921276,3.93701,0.35826791
COLORADO SPRINGS MUNI AP,CO,38.81,-104.6883,1884,2017-01-05,1.22,8.24,6.08,6.71082,360,19.01399,3.1102379,1.181103,0.16929143
SPRINGFIELD,MO,37.2353,-93.4003,389.5,2017-01-05,9.14,26.24,21.02,11.408394,350,19.908766,1.4960638,1.181103,0.05118113
TOPEKA MUNI AP,KS,39.0725,-95.6261,267,2017-01-05,5.18,17.24,13.64,8.724066,340,25.948504,0.5905515,1.968505,0.0393701
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,2017-01-05,1.22,15.26,11.3,9.395148,330,25.948504,0.5118113,1.181103,0.07086618
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,2017-01-05,9.14,19.22,17.06,10.06623,320,21.922012,0.9842525,1.181103,0.05905515
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-05,8.24,19.22,14.54,12.750558,320,31.093466,3.7007894,16.929143,0.14173236
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-01-05,-5.8,21.2,10.94,23.040482,320,59.055216,0.1968505,5.118113,0.01968505
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,2017-01-05,10.22,17.24,15.44,8.724066,320,19.01399,0.7086618,1.181103,0.05905515
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,2017-01-05,2.12,15.26,12.38,8.500372,310,21.922012,0.7086618,1.968505,0.0393701
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,2017-01-05,3.2,23.18,19.94,7.605596,310,19.908766,1.4960638,9.842525,0.09842525
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,2017-01-05,9.14,15.26,12.74,12.079476,300,29.08022,2.2834658,1.968505,0.09055123
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,2017-01-05,16.16,23.18,20.84,8.724066,290,19.01399,0.787402,1.181103,0.0393701
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-01-05,-4.9,29.12,18.86,5.59235,280,19.01399,0.5118113,11.023628,0.01181103
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-01-05,22.1,32,29.12,10.513618,270,38.922756,0.1968505,9.842525,0.01181103
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,2017-01-05,8.24,15.26,12.56,11.632088,270,25.053728,1.8897648,1.181103,0.09055123
GRAND RAPIDS,MI,42.8939,-85.5447,237.1,2017-01-05,7.16,15.26,13.1,10.06623,270,27.96175,0.9055123,1.181103,0.03149608
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-01-05,18.14,24.26,20.84,14.316416,260,38.922756,5.1968532,1.968505,0.24015761
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,2017-01-05,-8.86,24.26,17.96,9.842536,250,42.949248,3.7007894,20.866153,0.16141741
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,2017-01-05,10.22,42.08,32.72,13.197946,240,40.936002,6.299216,3.149608,0.27165369
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-01-05,-20.74,16.16,9.32,6.71082,240,33.106712,0.7086618,20.866153,0.0393701
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-05,-8.86,18.14,2.3,16.105968,220,31.093466,0.1968505,3.93701,0.01968505
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-05,-3.82,21.2,17.42,5.816044,130,14.987498,0.393701,14.960638,0.01181103
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,2017-01-05,17.24,29.12,28.94,7.158208,20,16.105968,2.0866153,3.149608,0.18110246
CHEYENNE,WY,41.1519,-104.8061,1867.8,2017-01-05,-15.88,4.1,-0.76,9.171454,10,21.922012,1.8110246,9.055123,0.0787402
JACKSON,KY,37.5908,-83.3131,415.7,2017-01-06,13.1,22.1,19.04,3.131716,340,14.092722,0.1968505,1.181103,0.01181103
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,2017-01-06,14.18,35.96,31.82,12.526864,340,27.96175,0.5905515,1.181103,0.05905515
CHARLESTON YEAGER AP,WV,38.3794,-81.59,277.4,2017-01-06,14.18,24.26,20.48,6.039738,330,16.105968,0.7086618,3.149608,0.01181103
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-01-06,9.14,28.22,24.62,3.802798,330,16.105968,0.1968505,11.023628,0.01181103
NEW YORK LAGUARDIA AP,NY,40.7794,-73.8803,3.4,2017-01-06,28.22,35.06,32.18,9.395148,320,19.908766,1.2992133,1.181103,0.0393701
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,2017-01-06,25.16,33.98,30.38,8.724066,320,23.935258,1.6141741,1.181103,0.05905515
AMARILLO,TX,35.2333,-101.7089,1093.3,2017-01-06,3.2,21.2,12.56,8.276678,320,19.01399,2.2047256,3.149608,0.1181103
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,2017-01-06,13.1,21.2,19.22,4.921268,310,14.987498,1.1023628,5.118113,0.01181103
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3,2017-01-06,26.24,32,30.02,9.395148,310,21.027236,0.9842525,1.968505,0.05905515
ABERDEEN,SD,45.4558,-98.4131,396.8,2017-01-06,-11.74,9.14,-1.66,4.250186,310,12.079476,0.3149608,3.149608,0.03149608
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,2017-01-06,27.14,35.96,32,8.724066,310,25.053728,1.1023628,1.181103,0.03149608
ROANOKE RGNL AP,VA,37.3169,-79.9742,358.1,2017-01-06,24.26,35.06,31.46,5.816044,300,23.935258,0.5118113,1.181103,0.01968505
MIDDLETOWN HARRISBURG INTL AP,PA,40.1936,-76.7633,95.1,2017-01-06,20.12,28.22,26.6,9.395148,300,21.027236,0.5118113,1.181103,0.03149608
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,2017-01-06,20.12,31.1,27.32,5.368656,290,18.119214,0.9055123,1.181103,0.0393701
BISMARCK,ND,46.7708,-100.7603,505.4,2017-01-06,-18.76,4.1,-0.22,3.802798,290,12.974252,0.1968505,18.897648,0.03149608
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,2017-01-06,9.14,13.1,10.76,7.381902,280,19.01399,2.0078751,3.93701,0.0787402
CLAYTON MUNI AIR PK,NM,36.4486,-103.1539,1511.8,2017-01-06,5.18,22.1,10.04,5.816044,270,19.908766,3.3858286,3.149608,0.07086618
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,2017-01-06,25.16,35.06,31.1,6.263432,270,21.027236,0.9842525,1.181103,0.01968505
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,2017-01-06,5.18,14.18,8.96,8.276678,260,21.027236,0.1968505,1.181103,0.01181103
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,2017-01-06,24.26,32,29.84,6.039738,250,17.000744,1.6141741,1.181103,0.05905515
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,2017-01-06,-14.8,1.22,-8.68,5.59235,250,14.987498,0.1968505,9.055123,0.01181103
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-01-06,3.2,20.12,9.86,6.934514,250,18.119214,0.393701,3.149608,0.03149608
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,2017-01-06,-0.76,14.18,9.32,6.487126,240,19.01399,0.1968505,3.149608,0.01181103
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-06,-27.76,-0.76,-12.46,5.144962,240,14.092722,0.1968505,16.929143,0.01181103
GRAND RAPIDS,MI,42.8939,-85.5447,237.1,2017-01-06,2.12,14.18,9.14,9.171454,240,21.027236,0.3149608,1.181103,0.01181103
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-06,-2.74,13.1,6.44,3.802798,230,19.01399,0.393701,18.110246,0.01181103
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,2017-01-06,-1.84,9.14,6.08,10.513618,230,21.922012,0.1968505,1.968505,0.01181103
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-01-06,8.24,19.22,16.52,10.513618,210,23.935258,7.9133901,3.93701,0.33858286
PUEBLO MEM AP,CO,38.29,-104.4983,1438.7,2017-01-06,-12.82,17.24,8.24,3.802798,140,17.000744,0.5118113,5.905515,0.0393701
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-06,5.18,17.24,14.54,13.197946,90,21.922012,0.787402,5.118113,0.09055123
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,2017-01-06,-6.88,5.18,2.12,6.934514,50,14.092722,0.5905515,5.118113,0.03149608
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,2017-01-06,27.14,35.06,32.72,3.802798,40,14.092722,0.9842525,1.181103,0.1181103
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,2017-01-06,1.22,18.14,16.52,8.052984,20,21.027236,1.6141741,1.968505,0.1181103
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,2017-01-06,8.24,22.1,20.66,8.724066,10,23.935258,2.0078751,1.968505,0.09842525
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,2017-01-06,-29.74,14.18,12.56,5.816044,10,23.935258,4.4094512,11.023628,0.33858286
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,2017-01-07,20.12,25.16,23.54,13.645334,360,29.08022,9.6850446,1.181103,0.51968532
KNOXVILLE MCGHEE TYSON AP,TN,35.8181,-83.9858,293.2,2017-01-07,14.18,25.16,20.12,7.605596,360,23.040482,1.2992133,1.968505,0.1181103
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,2017-01-07,18.14,21.2,20.3,9.171454,360,16.105968,3.3070884,3.1102379,0.22834658
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,2017-01-07,18.14,24.26,22.64,14.316416,360,36.014734,10.7086672,1.181103,0.5511814
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-07,-15.88,18.14,-6.88,5.59235,360,16.105968,1.2992133,12.992133,0.1181103
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,2017-01-07,24.26,29.12,27.5,7.381902,360,16.105968,4.4881914,5.0000027,0.61811057
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,2017-01-07,18.14,30.2,25.7,14.316416,360,33.106712,10.0000054,3.93701,0.77165396
RICHMOND INTL AP,VA,37.505,-77.3203,50,2017-01-07,12.2,29.12,23.18,12.750558,350,29.08022,7.0078778,3.149608,0.55905542
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-01-07,-0.76,16.16,8.78,4.026492,350,17.000744,0.7086618,7.9921303,0.01181103
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-01-07,6.26,19.22,13.64,3.35541,350,12.974252,1.4173236,9.842525,0.11023628
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,2017-01-07,13.1,25.16,21.92,18.790296,340,38.922756,2.2047256,7.086618,0.20866153
GREER,SC,34.8831,-82.2203,286.5,2017-01-07,22.1,32,30.74,11.1847,340,31.988242,1.8897648,3.149608,0.38188997
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,2017-01-07,22.1,32,30.38,19.461378,340,44.067718,5.3149635,2.0078751,1.03937064
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,2017-01-07,11.12,23.18,19.94,7.158208,340,21.922012,2.4015761,3.149608,0.14960638
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-07,3.2,15.26,8.96,8.500372,330,31.093466,0.787402,16.141741,0.05118113
YAKIMA AIR TERMINAL,WA,46.5683,-120.5428,324.3,2017-01-07,-2.74,23.18,7.88,5.59235,330,17.000744,1.6141741,7.086618,0.11023628
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,2017-01-07,6.26,14.18,10.94,10.289924,320,25.948504,2.9921276,5.905515,0.11023628
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3,2017-01-07,20.12,26.24,24.08,12.974252,320,25.948504,2.9921276,1.968505,0.14173236
ROANOKE RGNL AP,VA,37.3169,-79.9742,358.1,2017-01-07,14.18,24.26,23.54,10.06623,320,25.948504,4.0157502,3.93701,0.29921276
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,2017-01-07,23.18,44.06,27.86,2.908022,320,14.092722,0.1968505,3.93701,0.05905515
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,2017-01-07,-3.82,16.16,4.64,12.079476,300,36.014734,0.5118113,1.968505,0.03149608
BUFFALO,NY,42.9486,-78.7369,211.2,2017-01-07,5.18,17.24,11.12,8.500372,290,27.96175,0.5118113,1.181103,0.01181103
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,2017-01-07,5.18,14.18,8.78,10.513618,290,29.974996,0.3149608,1.181103,0.01968505
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,2017-01-07,11.12,16.16,12.92,13.645334,290,33.106712,1.4173236,5.118113,0.05905515
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,2017-01-07,-0.76,14.18,6.08,9.395148,280,23.935258,0.1181103,3.149608,0.01181103
GRAND RAPIDS,MI,42.8939,-85.5447,237.1,2017-01-07,7.16,15.26,10.58,10.737312,280,25.948504,2.2047256,1.968505,0.09055123
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,2017-01-07,-15.88,10.22,-5.26,1.565858,270,8.052984,0.5118113,9.055123,0.05118113
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-01-07,8.24,17.24,12.38,11.855782,270,36.90951,5.9842552,5.905515,0.29921276
CLEVELAND,OH,41.4131,-81.86,232.6,2017-01-07,6.26,17.24,10.58,11.408394,260,27.96175,0.5118113,1.181103,0.01968505
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-01-07,2.12,10.22,7.16,10.961006,260,27.066974,0.5118113,5.905515,0.01968505
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-01-07,27.14,28.22,26.96,19.685072,250,40.041226,0.1181103,5.118113,0.01181103
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,2017-01-07,-9.76,8.24,-1.84,1.11847,240,6.934514,0.9842525,5.905515,0.09055123
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-07,-9.76,23.18,-0.04,5.816044,170,19.01399,2.0078751,11.81103,0.14173236
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,2017-01-07,-12.82,7.16,-4,0.894776,90,8.94776,2.0078751,7.87402,0.14173236
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,2017-01-07,17.24,46.94,20.84,4.697574,50,25.053728,1.1023628,3.149608,0.11023628
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,2017-01-07,-2.74,9.14,3.38,5.816044,50,17.000744,0.7086618,1.968505,0.05118113
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,2017-01-07,-2.74,19.22,7.34,4.697574,50,14.987498,1.4960638,5.905515,0.12992133
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,2017-01-07,16.16,28.22,25.88,11.855782,20,29.08022,5.9842552,5.118113,0.53937037
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,2017-01-07,12.2,27.14,23.72,8.276678,20,23.040482,4.8818924,5.118113,0.51968532
PENDLETON,OR,45.6906,-118.8528,461.8,2017-01-07,-0.76,15.26,5.9,2.013246,20,12.974252,1.4173236,1.968505,0.11023628
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,2017-01-07,19.22,33.08,30.74,10.961006,10,27.066974,0.9842525,1.181103,0.38976399
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-01-07,11.12,20.12,17.78,6.934514,10,21.027236,1.1023628,1.181103,0.09055123
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-01-08,9.14,21.2,15.44,10.289924,340,23.040482,0.1181103,1.968505,0.01181103
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-01-08,0.14,14.18,10.94,10.737312,330,23.040482,0.5118113,7.9921303,0.01181103
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,2017-01-08,12.2,17.24,14.18,9.842536,330,21.027236,0.5118113,1.968505,0.01968505
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-01-08,0.14,17.24,9.86,7.605596,330,21.027236,0.787402,3.149608,0.07086618
GRAND JUNCTION WALKER FLD,CO,39.1342,-108.54,1480.7,2017-01-08,17.24,24.26,19.76,1.11847,320,6.934514,0.787402,1.968505,0.05905515
CLEVELAND,OH,41.4131,-81.86,232.6,2017-01-08,12.2,19.22,14.36,12.526864,310,29.08022,0.787402,1.968505,0.01968505
YAKIMA AIR TERMINAL,WA,46.5683,-120.5428,324.3,2017-01-08,10.22,28.22,20.66,4.921268,310,14.987498,4.4094512,9.842525,0.55905542
ALBANY AP,NY,42.7431,-73.8092,95.1,2017-01-08,9.14,23.18,22.46,12.750558,300,34.001488,0.5118113,1.181103,0.01968505
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-01-08,7.16,18.14,14.72,10.961006,300,29.974996,2.4015761,1.181103,0.09842525
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,2017-01-08,7.16,16.16,10.76,11.408394,290,25.053728,1.1023628,3.149608,0.03149608
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-01-08,8.24,16.16,10.04,8.052984,280,23.040482,2.7165369,9.055123,0.25984266
PENDLETON,OR,45.6906,-118.8528,461.8,2017-01-08,15.26,21.2,15.44,3.802798,270,10.961006,0.3149608,1.181103,0.20078751
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,2017-01-08,32,44.06,35.42,4.250186,270,23.935258,0.5118113,1.968505,0.83070911
DULUTH,MN,46.8369,-92.2097,435.3,2017-01-08,-12.82,10.22,-2.56,7.82929,210,19.908766,3.1102379,9.055123,0.12992133
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-08,-18.76,9.14,-6.52,4.921268,200,19.01399,0.7086618,16.929143,0.05905515
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,2017-01-08,29.12,44.96,31.64,9.618842,200,31.093466,0.1968505,1.968505,0.42126007
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-08,18.14,41,19.58,12.750558,180,46.080964,0.9842525,14.173236,0.18897648
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,2017-01-08,17.24,50,20.66,6.934514,170,38.02798,0.1181103,7.086618,0.0787402
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,2017-01-08,28.22,44.96,33.08,14.987498,160,38.922756,0.3149608,5.905515,0.03149608
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,2017-01-08,12.2,21.2,14.9,8.500372,150,25.948504,1.6141741,3.93701,0.05905515
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,2017-01-08,7.16,20.12,10.22,1.11847,140,8.052984,5.3149635,9.842525,0.40944904
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-08,14.18,44.96,20.48,8.500372,130,31.093466,0.393701,12.992133,0.22834658
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-08,1.22,6.26,0.86,10.961006,70,31.093466,0.9842525,5.905515,0.07086618
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,2017-01-08,17.24,28.22,18.86,8.94776,60,21.027236,2.9133874,7.086618,0.42913409
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,2017-01-08,-7.78,4.1,0.32,6.263432,40,12.974252,0.9055123,3.149608,0.09842525
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,2017-01-08,5.18,14.18,8.06,1.11847,40,6.934514,1.4960638,5.905515,0.1181103
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,2017-01-08,-0.76,18.14,10.58,1.342164,10,8.052984,5.0000027,9.055123,0.37007894
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,2017-01-09,9.14,27.14,12.02,11.408394,360,40.041226,0.1968505,3.93701,0.01181103
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,2017-01-09,17.24,32,21.56,3.131716,320,16.105968,1.6141741,14.960638,0.16929143
LEWISTON NEZ PERCE CO AP,ID,46.3747,-117.0156,437.7,2017-01-09,26.24,35.96,30.56,2.908022,290,12.974252,1.1023628,1.181103,0.11023628
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,2017-01-09,1.22,44.96,15.62,14.316416,270,52.120702,0.5905515,9.055123,0.05118113
PENDLETON,OR,45.6906,-118.8528,461.8,2017-01-09,21.2,41,25.7,6.934514,270,21.922012,1.4960638,3.149608,0.12992133
YAKIMA AIR TERMINAL,WA,46.5683,-120.5428,324.3,2017-01-09,12.2,31.1,25.88,3.802798,260,12.079476,0.787402,9.842525,0.03149608
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,2017-01-09,21.2,28.22,24.26,6.487126,250,19.908766,1.6929143,9.055123,0.14960638
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,2017-01-09,15.26,30.2,23.18,11.632088,220,36.014734,1.181103,5.118113,0.09055123
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,2017-01-09,13.1,33.98,15.98,4.47388,220,19.01399,2.0078751,7.086618,0.0787402
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-09,28.22,42.08,38.66,19.685072,210,51.002232,0.3149608,9.055123,0.27952771
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-01-09,15.26,25.16,18.32,9.395148,200,23.935258,0.1968505,1.968505,0.01968505
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,2017-01-09,14.18,29.12,19.58,13.42164,190,27.066974,0.5118113,1.968505,0.01968505
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,2017-01-09,19.22,30.2,22.1,8.500372,190,21.922012,1.4173236,3.149608,0.11023628
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-01-09,13.1,22.1,15.62,9.171454,190,31.093466,1.2992133,9.055123,0.0393701
GRAND RAPIDS,MI,42.8939,-85.5447,237.1,2017-01-09,14.18,27.14,19.4,12.750558,180,27.066974,1.6929143,1.968505,0.12992133
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264,2017-01-09,17.24,29.12,19.94,8.724066,170,25.948504,0.9055123,1.968505,0.03149608
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-09,16.16,23.18,17.96,8.500372,170,23.040482,1.181103,16.141741,0.0787402
GREEN BAY,WI,44.4983,-88.1111,207.9,2017-01-09,17.24,29.12,19.4,7.158208,170,17.000744,2.7165369,1.968505,0.22834658
HURON RGNL AP,SD,44.3981,-98.2231,390.1,2017-01-09,3.2,22.1,7.88,9.618842,160,27.96175,0.7086618,1.181103,0.07086618
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,2017-01-09,7.16,26.24,14.36,8.724066,150,21.922012,0.3149608,3.149608,0.01181103
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,2017-01-09,15.26,26.24,17.24,14.092722,150,34.001488,0.9055123,3.149608,0.09842525
DULUTH,MN,46.8369,-92.2097,435.3,2017-01-09,8.24,20.12,10.4,9.395148,130,23.935258,0.5118113,11.023628,0.0393701
PIERRE RGNL AP,SD,44.3814,-100.2856,531,2017-01-09,5.18,20.12,10.04,11.408394,120,29.08022,0.5118113,3.93701,0.0787402
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,2017-01-09,-4.9,8.24,-0.22,6.934514,100,19.01399,0.5905515,11.023628,0.01968505
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-09,-6.88,13.1,3.74,6.039738,100,18.119214,0.9842525,16.929143,0.11023628
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,2017-01-09,11.12,22.1,14.72,6.039738,90,18.119214,1.2992133,3.149608,0.07086618
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,2017-01-09,-13.9,4.1,1.22,4.921268,90,14.092722,0.393701,3.93701,0.01968505
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,2017-01-09,2.12,9.14,4.64,16.329662,90,29.974996,6.4173263,7.086618,0.25196864
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-09,-2.74,7.16,2.84,9.842536,80,31.988242,0.9842525,7.086618,0.18897648
ABERDEEN,SD,45.4558,-98.4131,396.8,2017-01-09,-0.76,13.1,3.2,7.381902,70,21.027236,0.787402,3.149608,0.0787402
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,2017-01-09,-5.8,14.18,2.12,5.59235,50,14.987498,0.5118113,7.87402,0.05118113
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,2017-01-09,12.2,24.26,17.96,1.565858,40,14.092722,2.2047256,12.992133,0.18897648
